,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1142,RS115.,LAND & HOUSE,1099 US ROUTE 2 SOUTH,202000,10.0
1143,BA008.,LOT & HOUSE,130 BAKER STREET,172200,0.84
1144,HN015.,LOT & HOUSE,157 HUNTER NORTH,192700,0.23
1145,BY080.,LAND & HOUSE,744 BAY ROAD,344400,7.5
1146,WS275.,LOT & HOUSE,2593 WEST SHORE RD,269000,1.0
1147,KF014.,LOT & HOUSE,150 KIRK & FITTS,257400,0.24
1148,MS007.,LOT & HOUSE,79 MILK STREET,103300,0.31
1149,RS133.,LOT & MHOME,1269 US ROUTE 2 SOUTH,91500,0.5
1150,SM006.,LOT & HOUSE,56 SOUTH MAIN,143100,0.12
1151,GP054.,2013 JAYFLIGHT,54 GOOSEPOINT CAMPGROUNG,14000,
1152,CO003.,LOT & HOUSE,95 CENTER BAY NORTH,183600,0.14
1153,BD144.,LAND,144 BORDER ROAD,48000,20.3
1154,CE053.,LOT & HOUSE,53 CEDARVALE EST,227600,0.73
1155,PF195.,LOT & HOUSE,195 POOR FARM ROAD,118200,0.24
1156,RU012.,LOT & HOUSE,62 ROCHLEAU LANE,175400,0.45
1157,WL018.,LOT & HOUSE,152 WINTER'S LANE,139200,0.5
1158,GR067.,LOT & HOUSE,3390 GREENWOODS ROAD,97500,0.5
1159,CS020.,LOT & HOUSE,130 CLELAND SOUTH,174900,0.19
1160,CO001.,LOT & HOUSE,81 CENTER BAY NORTH,123800,0.13
1161,BT013.,MHOME,13 BRULEY TRAILER PRK,7800,
1162,BA028.,LOT & HOUSE,237 BAKER STREET,176100,0.54
1163,SA221.,LAND & MHOME,2037 ALBURGH  SPRINGS ROAD,93200,3.49
1164,PD007.,LOT & MHOME,69 PAULINE DRIVE,74000,1.0
1165,GP061.,2018 WILDWOOD,61 GOOSEPOINT CAMPGROUND,15200,
1166,FK089.,LOT & HOUSE,899 FISKE ROAD,216200,0.27
1167,MB030.,LOT,298 MISSILE BASE RD,40300,0.69
1168,LI027.,LAND,27 LITTLE BEACH ROAD,715300,160.0
1169,GP021.,TRAIL BAY,21 GOOSEPOINT   CAMPGROUND,9800,
1170,JL004.,LOT & HOUSE,46 JARVIS LANE,127000,0.34
1171,RO174.,LAND,174 ROUTE 129,56100,7.6
1172,RO180.,LAND & HOUSE,180 ROUTE 129,304700,10.15
1173,MG047.,LAND & HOUSE,523 MCGREGOR POINT,528800,12.1
1174,ATC10.,09 PARKMODEL,10C ALBURGH  RV  RESORT,14400,
1175,RS582.,LAND,2025,2500,2.18
1176,SA294.,LOT & HOME,2740 ALBURGH  SPRINGS ROAD,363300,1.16
1177,RS522.,MH,149 CHESTNUT WAY,7100,
1178,RS520.,LAND & MHOME,150 CHESTNUT WAY,92700,10.3
1179,SM007.,LOT & HOUSE,63 SOUTH MAIN,126400,0.39
1180,BT005.,MHOME,5 BRULEY TRAILER PRK,16200,
1181,BY004.,HOUSE & LOT,42 BAY ROAD,264500,2.06
1182,MT034.,LOT & HOUSE,320 MOTT STREET NORTH,136600,0.3
1183,WS425.,LAND & HOUSE,4009 WEST SHORE RD,268300,12.16
1184,SM003.,LOT & BUILDING,37 SOUTH MAIN,274100,0.17
1185,PF086.,LAND & HOUSE,86 POOR FARM ROAD,313600,14.38
1186,BA026.,LOT & HOUSE,236 BAKER STREET,288400,0.93
1187,GP113.,2007 MONTANA,113 GOOSEPOINT CAMPGROUND,10500,
1188,GP114.A,2011 FOREST RIVER,114A GOOSEPOINT   CAMPGROUND,12800,
1189,RS441.,LAND & HOUSE,4183 US ROUTE 2 SOUTH,219900,10.1
1190,WS167.,LAND & HOUSE,1575 WEST SHORE RD,344500,10.5
1191,BU035.,LAND & HOUSE,327 BOUTAH ROAD,214900,18.98
1192,HD017.,LAND & HOUSE,17 HIDDEN DRIVE,186700,20.2
1193,WW152.,LOT & HOUSE,1444 WINDMILL POINT,472500,0.67
1194,MT018.,LOT & HOUSE,298 MOTT STREET NORTH,184700,0.2
1195,DR035.,LAND,381 DEER RUN LANE,59700,10.1
1196,DR041.,LAND & HOUSE,381 DEER RUN LANE,331900,15.0
1197,RS579.,LAND & HOUSE,5423 US ROUTE 2 SOUTH,80300,25.0
1198,WS321.,LAND & HOUSE,2993 WEST SHORE RD,318400,10.01
1199,ATC07.,94 PRK MODL,7C ALBURGH  RV RESORT,6200,
1200,BN008.,LOT & HOUSE,53 BOURDEAU NORTH,325200,1.15
1201,PF047.,LOT & HOUSE,47 POOR FARM ROAD,224400,0.26
1202,ATJ06.,BAYBRIDGE,6J ALBURGH  RV  RESORT,9500,
1203,SM053.,LOT & HOUSE,511 SOUTH MAIN,149400,0.38
1204,GP059.,2016 CATALINA,59 GOOSEPOINT CAMPGROUND,10000,
1205,AN006.,LOT & HOUSE,33 ANICK AVENUE,145500,0.17
1206,BA029.,LOT & HOUSE,215 BAKER STREET,157200,0.38
1207,HN019.,LOT & MHOME,201 HUNTER NORTH,165300,0.23
1208,KF016.,LOT & HOUSE,164 KIRK & FITTS,208200,0.2
