,tf_name,ratedKVA
533,E72804503100771,15.0
534,E72804503093083,10.0
535,E72804503093077,15.0
536,E72804503093075,10.0
537,E72804503093076,10.0
538,E72804503093073,10.0
539,E72804503093062,10.0
540,E72804503093054,10.0
541,E72809603093300,10.0
542,E72804503093294,10.0
543,E72804503093291,25.0
544,E72804503093286,10.0
545,E72804503093280,25.0
546,E72804503093277,10.0
547,E72809600042789,25.0
548,E72804503093302,15.0
549,E72804503093304,10.0
550,E72809603093306,25.0
551,E72804503093309,10.0
552,E72809600040092,15.0
553,E72804503093315,25.0
554,E103F 47,15.0
555,E72804503093283,25.0
556,E72809600050635,10.0
557,E72809603093093,25.0
558,E72804503093072,10.0
559,E72804500060071,15.0
560,E72804503093084,10.0
561,E72804503093085,10.0
562,E72804503093022,10.0
563,E72804503093033,10.0
564,E72804503093038,25.0
565,E72809603093043,15.0
566,E72804503093049,25.0
567,E72809603093008,10.0
568,E72804503093018,15.0
569,E103F 19A,25.0
570,E72809600042790,10.0
571,E103F 23,10.0
572,E72809603093336,15.0
573,E72809600039719,10.0
574,E72804503093097,10.0
575,E72804500063287,10.0
576,E72809600041497,15.0
577,E72804500042714,10.0
578,E72804503093002,10.0
579,E72809603093360,10.0
580,E72804503093350,25.0
581,E72804503104935,10.0
582,E72804503093331,15.0
583,E72804503096515,10.0
584,E72804503093333,10.0
585,E103H 63 1 V2C,50.0
586,E103H 63 1 V2D,25.0
587,tran_93236,25.0
588,E103H 63 1 V2C1,50.0
589,E72804503093098,50.0
590,E103H 63 1 V1D,50.0
591,E103H 63 1 V2A,50.0
592,E103H 63 1 V1A,50.0
593,E72804503093349,10.0
594,E103H 59,10.0
595,E72804500040537,10.0
596,E72804503093340,15.0
597,E72804503093342,10.0
598,E72804503093379,10.0
599,E72809600041108,15.0
600,E72804503093361,15.0
601,E72804503093358,15.0
602,E103H 63 1 V1C,50.0
603,E103H 63 1 V1B,50.0
604,E72805103080331,25.0
605,E72805103080326,10.0
606,E72805103080327,10.0
607,E72805103080329,50.0
608,E72805103080064,15.0
609,E72805103080063,50.0
610,E72805103080065,15.0
611,E72805103080068,10.0
612,E72805103080066,10.0
613,E72805103080325,10.0
614,E72805103080114,15.0
615,E72805100045354,15.0
616,E72805103080062,10.0
617,E72805103080067,5.0
618,E72805103080080,37.5
619,E72805103080103,10.0
620,E72805103080079,10.0
621,E72805103095428,37.5
622,E72805103080107,10.0
623,E72805103080072,15.0
624,E72805100038638,10.0
625,E72805103080069,15.0
626,E72805103080113,10.0
627,E72805103080089,25.0
628,E72805100063818,10.0
629,E72805103080110,10.0
630,E72805103080106,15.0
631,E72805100040251,10.0
632,E72805103080099,10.0
633,E72805103080322,30.0
634,E100 134K1,100.0
635,E72805103100333,25.0
636,E72805103080081,50.0
637,E72805103080070,10.0
638,E72805103080137,10.0
639,E72805100040280,10.0
640,E72805103080324,45.0
641,E72805103080157,10.0
642,E72805103080149,5.0
643,E72805100040585,37.5
644,E72805100040436,37.5
645,E72805103080236,10.0
646,E72805103080228,10.0
647,E72805103080230,25.0
648,E72805103102186,15.0
649,E72805103079864,10.0
650,E72805100040038,10.0
651,E72805100050235,15.0
652,E72805100041504,10.0
653,E72805103079926,25.0
654,E100B 29X,25.0
655,E72805100063655,10.0
656,E72805103079925,10.0
657,E72805103097903,10.0
658,E72805103079916,10.0
659,E72805103079888,10.0
660,E72805103095507,10.0
661,E72805103095071,10.0
662,E72805103079920,25.0
663,E72805103079924,10.0
664,E72805103079931,10.0
665,E72805103095257,37.5
666,E72805100040549,15.0
667,E72805103079929,10.0
668,E72805103079893,15.0
669,E72805103079909,75.0
670,E72805103079912,10.0
671,tran_5951,15.0
672,E72805103095196,10.0
673,E72805103079922,10.0
674,E72805103079917,10.0
675,E72805103079915,15.0
676,E72805103079903,15.0
677,E72805100043100,25.0
678,E72805100058453,10.0
679,E72805103079895,15.0
680,E72805103079878,10.0
681,E72805103079880,10.0
682,E72805103079889,25.0
683,E100B 11CX,15.0
684,E72805103079885,10.0
685,E72805100060921,25.0
686,E72805100060415,15.0
687,E72805103079882,10.0
688,E72805103079843,15.0
689,E72805100041445,15.0
690,E100B 11F,10.0
691,E72805103079899,10.0
692,E72805103079879,10.0
693,E72805103079873,10.0
694,E72805103079874,10.0
695,E72805103079875,10.0
696,E72805103097821,15.0
697,E72805200053534,25.0
698,E72805200062070,15.0
699,E72805203095536,37.5
700,tran_5736,15.0
701,E72805203098288,25.0
702,E72805203079475,15.0
703,E72805203079468,25.0
704,tran_93057,50.0
705,E72805200040726,25.0
706,E72805203101337,10.0
707,E72805203079446,10.0
708,E72805203079443,10.0
709,E72805203079442,10.0
710,E72805203079441,10.0
711,E72805203079439,25.0
712,E72805203079440,10.0
713,E72805200041170,10.0
714,E72805203079449,10.0
715,E72805203079450,10.0
716,E72805203079467,10.0
717,E72805203097904,15.0
718,E72805203079444,15.0
719,E72805203079452,15.0
720,E72805203079453,10.0
721,E72805200062112,75.0
722,E72805203079451,10.0
723,E72805203079448,10.0
724,E72805203079447,10.0
725,E72805200042850,10.0
726,E72805203079423,10.0
727,E72805203079429,10.0
728,E72805203079430,15.0
729,E72805203079432,45.0
730,E72805203079433,10.0
731,E72805203079438,10.0
732,E72805203079037,10.0
733,E72805203079032,10.0
734,E72805203079030,10.0
735,E72805203079026,10.0
736,E72805203079024,15.0
737,E72805203079342,10.0
738,E72805203079353,37.5
739,E72805203079413,15.0
740,E72805203079042,10.0
741,E72805200041316,10.0
742,E72805203079043,10.0
743,E102C 45X V3,15.0
744,E72805200041958,10.0
745,E72805203104940,15.0
746,E72805203079039,10.0
747,E72805203095872,10.0
748,E72805203079020,100.0
749,E72805203100643,10.0
750,E72805203079029,10.0
751,E72805203079034,10.0
752,E72805203079036,10.0
753,E72805203079341,15.0
754,E72805203079338,15.0
755,E72805200039419,10.0
756,E72805203079019,50.0
757,E72805200043633,25.0
758,E72805203079427,10.0
759,E72805200042194,10.0
760,E72805200061245,167.0
761,E72805203079419,15.0
762,E72805200040252,10.0
763,E72805203079348,25.0
764,E102B 4E V2,15.0
765,E72805203100650,15.0
766,E72805203079378,15.0
767,E72805203079408,10.0
768,E72805203079416,10.0
769,E72805203079424,10.0
770,E72805203079428,15.0
771,tran_75249,15.0
772,E72805203079396,10.0
773,E72805203079395,10.0
774,E72805203079394,10.0
775,E72805203079389,10.0
776,E72805203079360,25.0
777,E72805203079357,25.0
778,E72805203079796,10.0
779,E72805203079795,15.0
780,E72805203079801,10.0
781,E72805203079780,25.0
782,E72805203079779,10.0
783,E72805203079781,25.0
784,E72805200040661,15.0
785,E72805203079753,15.0
786,E72805203079754,10.0
787,E72805203079755,15.0
788,E72805203079760,10.0
789,E72805200040351,15.0
790,E72805203079768,10.0
791,E72805200039863,10.0
792,E72805203079734,25.0
793,E72805203079741,15.0
794,E72805203079746,15.0
795,E72805200040354,10.0
796,E72805103079860,10.0
797,E72805103079839,15.0
798,E72805103079838,25.0
799,E72805103079837,10.0
800,E72805103095651,10.0
801,E72805103079836,10.0
802,E72805203079731,50.0
803,E72805103079852,10.0
804,E72805103079846,10.0
805,E72805103079844,15.0
806,E72805103079840,10.0
807,E72805103079853,10.0
808,E72805103079855,25.0
809,E72805103079857,10.0
810,E72805103079858,10.0
811,E72805103080245,10.0
812,E72805100047835,10.0
813,E72805100055115,15.0
814,E72805100061440,10.0
815,E72805103080281,10.0
816,E100 90 V1,15.0
817,E72805103080283,10.0
818,E72805103080285,10.0
819,E72805103079866,25.0
820,E72805103079841,10.0
821,E72805103095753,30.0
822,E72805103080234,25.0
823,E72805103080242,10.0
824,E72805100041944,10.0
825,E72805103080237,10.0
826,E72805103080243,10.0
827,E72805103080247,15.0
828,E72805100040031,10.0
829,E72805103080165,10.0
830,E72805103080225,10.0
831,E72805103097598,10.0
832,E72805103080224,10.0
833,E72805103080219,10.0
834,E72805103080211,15.0
835,E72805103080227,10.0
836,E72805100041866,10.0
837,E100C 18,10.0
838,E72805103095265,10.0
839,E72805103079938,10.0
840,E72805100040225,10.0
841,E72805100043773,10.0
842,E72805100038817,10.0
843,E72805103080173,10.0
844,E72805103080174,10.0
845,E72805103080172,10.0
846,E72805103080167,15.0
847,E72805103079966,10.0
848,E72805103079968,15.0
849,E72805103079971,25.0
850,E72805103079981,15.0
851,E72805103079979,10.0
852,E72805100039564,15.0
853,E72805103079961,10.0
854,E72805103105164,10.0
855,E72805100042603,25.0
856,E72805103101112,10.0
857,E72805103079965,10.0
858,E72805103079964,10.0
859,E72805100063821,10.0
860,E72805100039784,10.0
861,E72805103079945,10.0
862,E72805100060475,10.0
863,E72805103079949,15.0
864,E72905103079956,10.0
865,E72805103079941,25.0
866,E72805103079942,15.0
867,E72805103096312,15.0
868,E72805100043887,15.0
869,E100C 15 V1,15.0
870,E72805103079940,10.0
871,E72805100040318,15.0
872,E72805100061165,15.0
873,E100D 2B,15.0
874,E72805103080156,10.0
875,E72805103080170,10.0
876,E72805103080176,50.0
877,E72805103080208,10.0
878,E72805103080212,15.0
879,E72805100063057,10.0
880,E72805103080198,10.0
881,E72805103100925,10.0
882,E72805100041705,10.0
883,E72805103080197,10.0
884,E72805100041715,10.0
885,E72805103080180,10.0
886,E72805103080163,25.0
887,E72805103080273,10.0
888,E72805103080266,10.0
889,E72805103080251,10.0
890,E100D 38F1,10.0
891,E100D 38F1 V1,25.0
892,E72805100060570,50.0
893,tran_30014,50.0
894,E100D 38B,15.0
895,E72805103080257,15.0
896,E72805103080262,15.0
897,E72805103080269,10.0
898,E72805103080271,15.0
899,E72805103080147,25.0
900,E72805103080276,10.0
901,E72805103080279,25.0
902,E72805103080275,10.0
903,E72805103096045,15.0
904,E72805103080209,25.0
905,E72805103080205,10.0
906,E72805103080206,10.0
907,E72805103080258,25.0
908,E72805103080252,10.0
909,E72805103080253,15.0
910,E72805103080259,15.0
911,E72805103080182,15.0
912,E72805103104966,10.0
913,E72805103080189,10.0
914,E72805103080202,10.0
915,E72805103080150,10.0
916,E72805103080155,50.0
917,E72805103080161,10.0
918,E72805103080320,30.0
919,E72805103080181,10.0
920,E72805103080185,15.0
921,E72805103080091,25.0
922,tran_6043,15.0
923,E72805103080096,15.0
924,E72805103080095,25.0
925,E72805103080097,10.0
926,E72805103080094,25.0
927,E72805103080092,25.0
928,E72805100050614,10.0
929,E72805103080141,15.0
930,E72805103080145,10.0
931,E72805100040509,15.0
932,E72805103095437,10.0
933,E72805103080138,25.0
934,E72805100039638,15.0
935,E72805103080090,15.0
936,E72805103079995,10.0
937,E72805103079988,15.0
938,E72805100039416,15.0
939,E72805103079990,10.0
940,E72805103079991,10.0
941,E72805103095321,10.0
942,E72805103104905,15.0
943,E100F 11,15.0
944,E72805103097973,10.0
945,E72805100039770,10.0
946,E72805103080045,15.0
947,E72805103080044,10.0
948,E72805100042412,10.0
949,E72805103080035,10.0
950,E72805103080030,10.0
951,E72805103080024,15.0
952,E72805103079999,10.0
953,E72805100043645,10.0
954,E72805100041872,10.0
955,E72805103080060,10.0
956,E72805103080058,10.0
957,E72805103080056,10.0
958,E72805100038651,15.0
959,E72805103080055,10.0
960,E72805103080051,25.0
961,E72805100062069,10.0
962,E72805100041708,10.0
963,E72805103080047,10.0
964,E72805103080038,10.0
965,E72805100055075,15.0
966,E72805100040137,10.0
967,E72805103080059,10.0
968,E72805103080025,15.0
969,E72805103080037,15.0
970,E72805103095325,10.0
971,E72805103080009,25.0
972,E72805103080012,10.0
973,E72805103080013,10.0
974,E72805103080017,10.0
975,E72805103080130,10.0
976,E72805103080131,10.0
977,E72805103080134,10.0
978,E100F 3,37.5
979,E72805103102219,10.0
980,E72805100041289,10.0
981,E72805103079996,25.0
982,E72805103080328,15.0
983,E72805103080330,25.0
984,E72805103080323,30.0
985,E72805103102330,10.0
986,E72805103080115,15.0
987,E72805103080118,15.0
988,E72805103080122,10.0
989,E72805103105046,10.0
990,E72805103080128,10.0
991,E72805103080125,15.0
992,E72805100050297,10.0
993,E72805003080961,15.0
994,E101 59,15.0
995,E72805003081265,10.0
996,E72805000042059,10.0
997,E72805003081264,10.0
998,E7280500583366,25.0
999,E72805003081263,10.0
1000,E72805003081270,10.0
1001,E72805003081274,10.0
1002,E72805003081272,15.0
1003,E72805003081276,10.0
1004,E101C 2 V1,25.0
1005,E72805003081253,10.0
1006,E72805003081255,10.0
1007,E72805000041426,10.0
1008,E72805003081257,10.0
1009,E72805003081261,15.0
1010,E72805003081260,10.0
1011,E72805003081262,15.0
1012,E72805000042964,10.0
1013,E72805003081082,10.0
1014,tran_91201,10.0
1015,E72805003081081,25.0
1016,E72805003081078,10.0
1017,E72805003081137,10.0
1018,E72805003081243,10.0
1019,E72805003081247,10.0
1020,E72805003081250,10.0
1021,E72805003081249,10.0
1022,E72805003081251,10.0
1023,E72805000040319,10.0
1024,E72805003081135,10.0
1025,E72805003081100,10.0
1026,E72805003081092,10.0
1027,E72805003081088,10.0
1028,E72805003081086,10.0
1029,E101D1 4,10.0
1030,E72805003081079,10.0
1031,E72805003081120,15.0
1032,E72805003081122,10.0
1033,E72805003081117,10.0
1034,E72805003081114,15.0
1035,E72805003081111,10.0
1036,E72805003081109,15.0
1037,E72805003081128,10.0
1038,E72805003081102,10.0
1039,E72805003081097,10.0
1040,E72805003081131,15.0
1041,E72805003081106,10.0
1042,E72805003081119,10.0
1043,E72805003081071,10.0
1044,E72805003081084,15.0
1045,E72805003105034,10.0
1046,E72805003095992,10.0
1047,E72805003081075,10.0
1048,E72805003100926,25.0
1049,E72805003081059,25.0
1050,E72805003081061,10.0
1051,E72805003081066,10.0
1052,E72805000045695,10.0
1053,E72805003081065,25.0
1054,E72805000038559,10.0
1055,E72805003105013,15.0
1056,E101D 39 1 V3,25.0
1057,E72805003099482,15.0
1058,E72805003081067,15.0
1059,E72805003081068,25.0
1060,E72805003095383,15.0
1061,E72805003100928,10.0
1062,E72805003098658,10.0
1063,E72805003104880,10.0
1064,E72805003095185,25.0
1065,E72805003100654,10.0
