,gs_equipment_location,gs_facility_id,gs_rated_kva,x,y
3156,E72805203078675,29655,10.0,1432944.6343697943,902426.9897660613
3157,E72805203078612,30911,25.0,1433220.4354146495,903346.6880909875
3158,E72805203078604,30913,25.0,1433262.1495067775,903446.2536238357
3159,E72805203078607,30914,25.0,1433299.9171284698,903550.3078902438
3160,E72805203078595,30915,25.0,1433361.4608537965,903683.4548237547
3161,E72805200042768,17024,25.0,1433360.208753202,903829.5432681516
3162,E72805203078550,26437,50.0,1433256.8373366445,903879.8934024647
3163,E72805200041077,16033,25.0,1433818.6118806936,904956.0346357375
3164,E72805203078918,19575,0.0,1434023.5973796435,905663.2863229439
3165,E72805203079447,16750,10.0,1439813.0287195072,886414.7533246428
3166,E72805203079448,15766,10.0,1439823.8419731967,886066.008476682
3167,E72805203079419,26676,15.0,1440596.0572835393,894060.492517598
3168,E72805200040252,15472,10.0,1440468.745954696,894143.2579358295
3169,E72805203079424,15731,10.0,1440346.576083526,893529.0947498381
3170,E72805200042194,16554,10.0,1440231.1543755494,893255.2619192451
3171,E72805203079338,16799,15.0,1440069.730680082,896594.156665653
3172,E72805200039419,15038,10.0,1439307.2284067161,897566.7557699084
3180,E72805200041316,15806,10.0,1435508.384078756,894605.5573242158
3181,E72805200041958,15779,10.0,1435000.2634572499,894330.0876623765
3182,E72805203079384,15719,10.0,1442295.1182479039,895317.1571582407
3183,E72805203079389,22813,10.0,1442373.5957707688,895057.4131267071
3184,E72805200041656,16770,15.0,1432539.7947876602,902552.5538026467
3185,E72805200042338,17101,25.0,1432178.1354164444,901443.3546032533
3186,E72805200039737,17064,15.0,1431790.7085054107,903196.6217951849
3187,E72805203078765,15592,10.0,1431415.0607542396,902359.3876312003
3188,E72805203101517,35721,15.0,1431290.2699446864,902624.5241681486
3189,E72805200040564,15558,10.0,1431140.2136907913,902738.2287096009
3190,E72805203078581,17694,15.0,1431075.5940030552,904849.8012749702
3191,E72805200040414,16416,10.0,1430804.1222764403,905807.3933730721
3192,E72805203078567,21067,10.0,1428542.040316008,906813.2556749806
3193,E72805200040179,15576,10.0,1433886.1437221877,903634.9210198224
3194,E72805203078539,18216,15.0,1434118.2122511007,904279.8727003932
3195,E72805203078541,16796,15.0,1434205.8580373563,904486.5351982266
3196,E72805203078935,35007,15.0,1434447.4362545796,904455.7768293843
3197,E72805203103784,21045,25.0,1437131.7993387356,912113.9077386856
3198,E72805203078875,17452,10.0,1434501.3010572232,910962.3417230323
3199,E72805203095472,26501,10.0,1425570.7698350735,912007.0216537938
3200,E72805200041564,15993,10.0,1423558.782886371,907753.8210878745
3201,E72805200040201,15768,10.0,1428265.305373568,908335.6694090441
3202,E72805200041369,17696,25.0,1422853.2985752411,906700.2841929197
3203,E72805203078839,26510,10.0,1425830.1724416874,913737.8250941411
3204,E72805203078823,16791,15.0,1425385.3861434981,912543.62113069
3205,E72805200040601,16298,15.0,1425335.2770150155,913562.0615518838
3206,E72805200040315,15581,15.0,1425152.3033817261,913970.8476044536
3207,E72805203078847,22918,10.0,1424701.1304290853,915253.4304135591
3208,E72805200040154,15513,15.0,1424585.5882181935,915625.5132868513
3209,E72805203080370,16718,10.0,1451341.5933573246,903218.3022778258
3210,E72805203079062,16889,10.0,1443666.682417225,906714.6240397096
3211,E72805203079068,32415,10.0,1443260.2662552968,910128.4816406518
3212,E72805203079069,15925,10.0,1443560.4390145466,911145.2751886845
3213,E72805203079071,15547,15.0,1443692.0784063898,912415.6470358148
3214,E72805203079070,16442,15.0,1443647.7735016048,911930.5023032799
3215,E72805203079085,16440,15.0,1446651.509476006,898394.9120476842
3216,E72805203080378,26193,25.0,1447532.5665331148,899374.8618297055
3217,E103B 18A,15193,100.0,1447765.4484566972,899222.7369424477
3218,E72805203080380,15194,100.0,1448146.2979169972,899211.2590398714
3219,E72805203079151,23610,99.0,1453782.6811415479,907117.9272096902
3220,E72805203079149,16297,10.0,1454150.9882568642,907462.4952509105
3221,E72805200040916,15543,25.0,1454726.8315161467,909234.932448104
3222,E72805203079185,17483,10.0,1453827.0864654295,910198.0017802343
3223,E72805203079191,26238,25.0,1454340.780346714,910714.1904484108
3224,E72805200043325,16222,15.0,1455546.6831347533,913182.1359472573
3225,E72805200042877,17610,10.0,1455375.8401281573,913492.7824181318
3226,E72805203079217,20904,15.0,1455963.1713319272,915017.676503852
3227,E72805200042485,26248,10.0,1456109.5120793022,916229.7751500607
3228,E72805203079240,32317,10.0,1456554.0975392982,916694.1230879873
3229,E72805200040788,15557,10.0,1455976.014934197,915672.0073279068
3230,E72805203080374,18340,10.0,1452134.1918611266,903154.0503750294
3231,E72805200040606,15510,25.0,1451644.4975159615,902656.2365184054
3232,E72805200040265,15655,10.0,1451082.3614631705,901668.4038374126
